keys,en,ja
pal_helzephyr_lux,Helzephyr Lux,ライガルダ,
pal_elgrove,Elgrove,モリタロス,
pal_elgrove_cryst,Elgrove Cryst,ユキタロス,
pal_lunaris,Lunaris,ミステリア,
pal_fenglope,Fenglope,ムラクモ,
pal_fenglope_lux,Fenglope Lux,ムラサメ,
pal_dinossom,Dinossom,アロアリュー,
pal_dinossom_lux,Dinossom Lux,ビリビリュー,
pal_bushi,Bushi,ツジギリ,
pal_bushi_noct,Bushi Noct,ヤミウチ,
pal_munchill,Munchill,コチワニ,
pal_mammorest,Mammorest,グランモス,
pal_mammorest_cryst,Mammorest Cryst,ブリザモス,
pal_finsider,Finsider,ガブルミ,
pal_finsider_ignis,Finsider Ignis,ヒグルミ,
pal_petallia,Petallia,フラリーナ,
pal_petallia_ignis,Petallia Ignis,チェリーナ,
pal_leafan,Leafan,リーファン,
pal_incineram,Incineram,ヘルゴート,
pal_incineram_noct,Incineram Noct,アビスゴート,
pal_dazzi,Dazzi,カミナラシ,
pal_dazzi_noct,Dazzi Noct,ヤミナラシ,
pal_pyrin,Pyrin,サラブレイズ,
pal_pyrin_noct,Pyrin Noct,サラブラック,
pal_relaxaurus,Relaxaurus,ペコドン,
pal_relaxaurus_lux,Relaxaurus Lux,パリピドン,
pal_foxcicle,Foxcicle,フブキツネ,
pal_beakon,Beakon,ライバード,
pal_beakon_cryst,Beakon Cryst,チルバード,
pal_ghangler,Ghangler,アンドーン,
pal_ghangler_ignis,Ghangler Ignis,メラドーン,
pal_rayhound,Rayhound,イヌズマ,
pal_rayhound_cryst,Rayhound Cryst,フリーズマ,
pal_menasting,Menasting,デスティング,
pal_menasting_terra,Menasting Terra,ゴルディング,
pal_needoll,Needoll,ハグミー,
pal_needoll_noct,Needoll Noct,ハグユー,
pal_reindrix,Reindrix,ツララジカ,
pal_mossanda,Mossanda,ササゾー,
pal_mossanda_lux,Mossanda Lux,ライゾー,
pal_chillet,Chillet,オコチョ,
pal_chillet_ignis,Chillet Ignis,モモチョ,
pal_ragnahawk,Ragnahawk,イグニクス,
pal_moldron,Moldron,マグマンダー,
pal_moldron_cryst,Moldron Cryst,ブリザンダー,
pal_palumba,Palumba,ココヤンバ,
pal_digtoise,Digtoise,ドリタス,
pal_broncherry,Broncherry,ラブラドン,
pal_broncherry_aqua,Broncherry Aqua,スプラドン,
pal_dumud,Dumud,トドドドン,
pal_dumud_gild,Dumud Gild,ゴルドドン,
pal_braloha,Braloha,トコナッツ,
pal_kitsun,Kitsun,シラヌイ,
pal_kitsun_noct,Kitsun Noct,カゲヌイ,
pal_blazehowl,Blazehowl,ゴクエンオ,
pal_blazehowl_noct,Blazehowl Noct,シンエンオ,
pal_warsect,Warsect,グラクレス,
pal_warsect_terra,Warsect Terra,ゴルクレス,
pal_frostplume,Frostplume,クジャンナ,
pal_majex,Majex,マジョルナ,
pal_sibelyx,Sibelyx,シルキーヌ,
pal_sibelyx_primo,Sibelyx Primo,ソワレーヌ,
pal_maraith,Maraith,ソルレイス,
pal_shroomer,Shroomer,キノッポ,
pal_shroomer_noct,Shroomer Noct,ベノッポ,
pal_icelyn,Icelyn,チルウィッチ,
pal_gildra,Gildra,ヨミーラ,
pal_jormuntide,Jormuntide,レヴィドラ,
pal_jormuntide_ignis,Jormuntide Ignis,アグニドラ,
pal_suzaku,Suzaku,スザク,
pal_suzaku_aqua,Suzaku Aqua,シヴァ,
pal_dazemu,Dazemu,トリステップ,
pal_quivern,Quivern,フェスキー,
pal_quivern_botan,Quivern Botan,フォレスキー,
pal_lullu,Lullu,フワフラワ,
pal_kikit,Kikit,コロマジロ,
pal_yakumo,Yakumo,ヤクモマル,
pal_skutlass,Skutlass,オオタチウオ,
pal_skutlass_ignis,Skutlass Ignis,ヒノタチウオ,
pal_reptyro,Reptyro,ボルカノン,
pal_reptyro_cryst,Reptyro Cryst,フロスカノン,
pal_starryon,Starryon,ナイトロット,
pal_starryon_primo,Starryon Primo,ライトロット,
pal_pierdon,Pierdon,ジオルドン,
pal_pierdon,Pierdon,フロスドン,
pal_cryolinx,Cryolinx,ツンドラー,
pal_cryolinx_terra,Cryolinx Terra,グランドラー,
pal_snugloo,Snugloo,ユキボウ,
pal_wumpo,Wumpo,ヒエティ,
pal_wumpo_botan,Wumpo Botan,トロピティ,
pal_sootseer,Sootseer,オドロクロ,
pal_carnibora,Carnibora,カプリリス,
pal_blazamut,Blazamut,ボルカイザー,
pal_blazamut_ryu,Blazamut Ryu,ボルドラゴ,
pal_dualith,Dualith,ウゴクゾー,
pal_dualith_noct,Dualith Noct,ノロウゾー,
pal_anubis,Anubis,アヌビス,
pal_sekhmet,Sekhmet,セクメト,
pal_prixter,Prixter,ブッサソリ,
pal_prixter_lux,Prixter Lux,ブッサンダー,
pal_tetroise,Tetroise,オモシガメ,
pal_tetroise_primo,Tetroise Primo,オシロガメ,
pal_nyafia,Nyafia,ニャニミテ,
pal_mimog,Mimog,ミミドッグ,
pal_xenovader,Xenovader,ゼノベーダ,
pal_xenogard,Xenogard,ゼノルーダ,
pal_prunelia,Prunelia,プラムルリム,
pal_nitemary,Nitemary,ナイトメアリ,
pal_nitemary_botan,Nitemary Botan,グラスメアリ,
pal_smokie,Smokie,クロマル,
pal_smokie_cryst,Smokie Cryst,フユマル,
pal_omascul,Omascul,オーメン,
pal_whalaska,Whalaska,コゴエール,
pal_whalaska_ignis,Whalaska Ignis,モモエール,
pal_verdash,Verdash,ラベロット,
pal_splatterina,Splatterina,ヤンデリナ,
pal_gildane,Gildane,キンガゼル,
pal_dogen,Dogen,ワンフー,
pal_bulldosu,Bulldosu,ドスコイヌ,
pal_celesdir,Celesdir,セレスディア,
pal_celesdir_noct,Celesdir Noct,コスモディア,
pal_astegon,Astegon,ジオラーヴァ,
pal_knocklem,Knocklem,テラナイト,
pal_knocklem_ignis,Knocklem Ignis,マグナイト,
pal_silvegis,Silvegis,アイギルガ,
pal_azurmane,Azurmane,オーマサンダ,
pal_valentail,Valentail,ニャルル,
pal_snock,Snock,デンツム,
pal_snock_terra,Snock Terra,ドンツム,
pal_souffline,Souffline,ポポフィア,
pal_lapiron,Lapiron,バトラビー,
pal_hoodle,Hoodle,フードール,
pal_slowatt,Slowatt,ノンビリリ,
pal_bakemi,Bakemi,ウラミィ,
pal_solmora,Solmora,オーマンボ,
pal_solmora_lux,Solmora Lux,トノサマンボ,
pal_lapure,Lapure,ネモフィ,
pal_eidrolon,Eidrolon,レイバーン,
pal_eidrolon,Eidrolon,ヘルバーン,
pal_dynamoff,Dynamoff,ダイナモフ,
pal_tropicaw,Tropicaw,フラペック,
pal_flaracle,Flaracle,センコ,
pal_ophydia,Ophydia,ハナミズチ,
pal_dupin,Dupin,ラピエール,
pal_roujay,Roujay,アルセーヴ,
pal_venusa,Venusa,メドゥーナ,
pal_mycora,Mycora,マシュリー,
pal_loomen,Loomen,ヴィランタン,
pal_wistella,Wistella,ホシノコ,
pal_solenne,Solenne,モノクローナ,
pal_renjishi,Renjishi,ゴウカブキ,
pal_aegidron,Aegidron,シェルガドラ,
pal_grizzbolt,Grizzbolt,エレパンダ,
pal_lyleen,Lyleen,リリクイン,
pal_lyleen_noct,Lyleen Noct,ルナクイン,
pal_orserk,Orserk,ボルゼクス,
pal_faleris,Faleris,ホルス,
pal_faleris_aqua,Faleris Aqua,イシス,
pal_shadowbeak,Shadowbeak,ゼノグリフ,
pal_selyne,Selyne,セレムーン,
pal_bastigor,Bastigor,ヒョウガオー,
pal_shaolong,Shaolong,シャオロン,
pal_silvance,Silvance,モスローン,
pal_dandilord,Dandilord,ノクサージュ,
pal_bellanoir,Bellanoir,ベラノワール,
pal_bellanoir_libero,Bellanoir Libero,ベラルージュ,
pal_xenolord,Xenolord,ゼノドラン,
pal_hartalis,Hartalis,レジェンディア,
pal_paladius,Paladius,セイントール,
pal_necromus,Necromus,ベイントール,
pal_frostallion,Frostallion,グレイシャル,
pal_frostallion_noct,Frostallion Noct,グレイシャドウ,
pal_neptilius,Neptilius,ネプティオス,
pal_jetragon,Jetragon,ジェッドラン,
pal_panthalus,Panthalus,グランジーラ,
pal_astralym,Astralym,ゼロヴァース,
